WORD,N,In
引擎,2,1
手榴彈,1,2
木乃伊,5,3
石棺,1,4
抽風機,1,5
枷鎖,1,6
玻璃箱,1,7
風箏,1,8
馬達,1,9
推草機,1,10
望遠鏡,1,11
畫架,1,12
電話,6,13
機槍,1,14
機器人,3,15
頭骨,1,16
