WORD,N,In
人物畫,1,1
山水畫,2,2
太極圖,1,3
水墨畫,1,4
名畫,2,5
肖像,2,6
卷軸,1,7
油畫,6,8
春聯,1,9
風景畫,2,10
風景照,1,11
書法,3,12
浮雕,3,13
海報,1,14
素描,2,15
插圖,1,16
畫面,8,17
照片,5,18
漫畫,12,19
壁畫,2,20
