WORD,N,In
大砲,1,1
大廈,1,2
大樓,4,3
小島,3,4
公寓,2,5
水庫,9,6
主燈,2,7
古董,1,8
古蹟,1,9
石碑,2,10
吊橋,1,11
寺廟,2,12
房屋,1,13
城堡,9,14
紅磚,1,15
宮殿,2,16
島嶼,2,17
帳棚,1,18
涼亭,2,19
焚化爐,2,20
碉堡,1,21
銅像,2,22
橋墩,1,23
橋樑,7,24
機器人,1,25
燈塔,1,26
雕像,3,27
鞦韆,1,28
寶塔,1,29
鐵塔,1,30
