WORD,N,In
大餅,4,1
手帕,6,2
月餅,2,3
木牌,1,4
火柴盒,1,5
牛排,1,6
瓦,1,7
石碑,2,8
地磚,1,9
乳酪,4,10
披薩,1,11
肥皂,1,12
保麗龍,1,13
拼圖,1,14
洗衣板,1,15
玻璃,2,16
紀念碑,1,17
海綿,1,18
記憶體,1,19
磚頭,1,20
麵包,2,21
