TERM,TYPE_FREQ,TOKEN_FREQ
ban,8,10
dian,322,544
ding,35,53*
duo,51,115*
feng,50,131*
fu,122,326*
ge,2290,7155
gen,150,253*
jie,8,22
ju,80,122*
juan,22,33
ke,231,457
kuai,264,831*
li,58,83
mei,81,123*
mian,67,217*
pian,408,713*
tiao,434,838*
ye,6,8
zhang,310,498*
zheng,6,15
zhi,48,73*
zun,29,46
zuo,253,421
