WORD,POS,FREQ,RANK,SOURCE
片,Nf,987,53.73,THT
片,Na,170,74.62,THT
枝,Nf,72,82.15,THT
枝,Na,30,88.39,THT
面,Na,350,67.19,THT
面,Nf,265,70.08,THT
個,Nf,41077,11.64,THT
根,Nf,327,67.98,THT
根,Na,168,74.72,THT
張,Nf,1019,53.34,THT
條,Nf,1724,46.54,THT
粒,Nf,85,80.7,THT
顆,Nf,456,64.13,THT
